productname,productbrand,price,numimages,description,primarycolor,sexuality,adult,disc_len,name_len
SEJ by Nisha Gupta Pink & Blue Printed Table Runner,SEJ by Nisha Gupta,699,3,Set content: One runner Type: Table runner Colour: Pink and blue Fabric: Polycotton Shape: Rectangular Pattern: Printed Disclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings.,Blue,2,1,33,10
XYXX Men Printed Pack of 3 Remix Pure Cotton Boxer XYBOX3PCKN86,XYXX,967,5,"\"Pack of 3 Black",White & Light Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness,0,1,4,11
HERE&NOW Men Purple & Black Colourblocked Padded Jacket With Printed Details,HERE&NOW,1574,8,"\"Purple and Black colourblocked jacket",has a mock collar,0,1,5,11
XYXX Men Printed Pack of 2 Remix Pure Cotton Boxer XYBOX2PCKN150,XYXX,670,4,"\"Pack of 2 Blue & Light Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness",softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft,0,1,36,11
Roadster Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Roadster,574,7,"\"Blue medium wash 5-pocket mid-rise jeans",clean look,1,1,6,11
Roadster Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Roadster,524,7,"\"Blue medium wash 5-pocket mid-rise jeans",clean look,1,1,6,10
Roadster Men Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Roadster,599,7,"\"Blue medium wash 5-pocket mid-rise jeans",clean look,0,1,6,11
Soumya Mustard Yellow Ethnic Motifs Print Single Window Curtain,Soumya,849,4,Set content: Single Window curtainColour: Mustard YellowPattern: Ethnic MotifsLight blocking: RegularFitting: EyeletLining: No,Yellow,2,1,13,9
Veni Vidi Vici Women Green Solid Fitted Crop Top,Veni Vidi Vici,468,5,"\"Green solid knitted fitted crop top with cut-out detail",has a scoop neck,1,1,9,9
CHUTPUT Kids Blue & Yellow Solid Sweater with Applique Detail,CHUTPUT,1125,4,"\"Blue and yellow solid sweater with applique detail",has a turtle neck,2,0,8,10
Alcis Men Black & Red Slim Fit Solid Running Track Pants,Alcis,949,7,"\"A pair of black and red solid knitted slim-fit running track pants",has an elasticated waistband with inner drawstring fastening,0,1,12,11
Soumya Yellow Single Long Door Curtain,Soumya,939,4,Set content: Single Long Door curtainColour: YellowPattern: Abstract Long DoorLight blocking: RegularFitting: EyeletLining: No,Yellow,2,1,14,6
Red Tape Men Black Leather Brogues,Red Tape,1049,5,"\"A pair of round-toe black brogues",has regular styling,0,1,6,6
Voylla Brass Plated Gold-Toned & Beige Handcrafted Geometric Studs,Voylla,229,3,"\"Gold-Toned and Beige Geometric Earrings",brass-plated,1,1,5,9
Flying Machine Men Grey Printed Round Neck T-shirt,Flying Machine,349,5,"\"Grey printed T-shirt",has a round neck,0,1,3,8
V Dot by Van Heusen Black & Maroon Regular Fit Party Suit,V Dot,5499,5,"\"Black and maroon party suitBlack and maroon pinstriped blazer",has a peaked lapel,0,1,9,12
HERE&NOW Women Black Bootcut Mid-Rise Clean Look Stretchable Jeans,HERE&NOW,539,7,"\"Black dark wash 5-pocket mid-rise jeans",clean look,1,1,6,9
Belle Fille Navy Hooded Sweatshirt,Belle Fille,639,5,"\"Navy blue sweatshirt",has an attached hood,1,1,3,5
Flying Machine Men Charcoal Grey Printed Round Neck T-shirt,Flying Machine,319,5,"\"Charcoal grey printed T-shirt",has a round neck,0,1,4,9
VRINDA Green Set of Single Door Curtains,VRINDA,749,4,Set content: Single Door curtainsColour: GreenPattern: Abstract DoorLight blocking: RegularFitting: EyeletLining: No,Green,2,1,12,7
ELLE Peach-Coloured Textured Shoulder Bag,ELLE,1257,5,"\"Peach-Coloured textured shoulder bag",has a zip closure2 main compartments,1,1,4,5
Flying Machine Men Black & White Slim Fit Checked Casual Shirt,Flying Machine,799,5,"\"Black and White checked casual shirt",has a button-down collar,0,1,6,11
Priyaasi White & Red Gold-Plated Stone-Studed & Beaded Handcrafted Classic Drop Earrings,Priyaasi,560,4,"\"White and red gold-plated handcrafted drop earrings","has artificial stones and beadsSecured with a post and back closure\"",1,1,7,12
Indian Terrain Men Brown & Orange Striped Polo Collar T-shirt with Pocket,Indian Terrain,944,5,"\"Brown and Orange striped T-shirt",has a polo collar,0,1,5,12
Indian Terrain Boys Cream-Coloured Regular Fit Checked Casual Shirt,Indian Terrain,584,4,"\"Cream-Coloured checked casual shirt",has a slim collar,0,0,4,9
Indian Terrain Men Navy Blue Self Design Polo Collar T-shirt,Indian Terrain,854,5,"\"Navy Blue self-design T-shirt",has a polo collar,0,1,4,10
Indian Terrain Men Navy Blue Printed Pullover Sweater,Indian Terrain,1394,5,"\"Navy Blue printed pullover sweater",has a V-neck,0,1,5,8
Melange by Lifestyle Men Teal Blue Printed Straight Kurta,Melange by Lifestyle,499,6,"\"Teal printed straight kurta",has a mandarin collar,0,1,4,9
Indian Terrain Men Green & White Slim Fit Checked Casual Shirt,Indian Terrain,879,5,"\"Green and White checked casual shirt",has a spread collar,0,1,6,11
DENNISON Men White & Yellow Slim Fit Checked Formal Shirt,DENNISON,479,5,"\"White",yellow and navy checked formal shirt,0,1,1,10
Ginger by Lifestyle Women Black Regular Fit Solid Cigarette Trousers,Ginger by Lifestyle,1299,4,Black solid mid-rise trousers and zip closure,Black,1,1,7,10
GAP Boy Logo Short Sleeve T-Shirt,GAP,1299,4,Soft knitShort sleevesCrewneckAssorted logo graphics at front,"",0,0,7,6
AURELIA Women Navy Blue Striped Zari Detail Empire A-Line Kurta,AURELIA,759,5,"\"Navy blue and silver striped empire A-line kurta with sequinned",pleated,1,1,10,10
Aarika Girls Red & Black Colourblocked Fit and Flare Dress,Aarika,397,3,"\"Red and Black colourblocked knitted fit and flare dress",has a V-neck,1,0,9,10
HERE&NOW Women Grey Solid Straight Kurta,HERE&NOW,559,5,"\"Grey solid straight kurta with striped detail",has a mandarin collar,1,1,7,6
Wintage Men Blue & Beige Printed Straight Kurta,Wintage,1499,5,"\"Blue and Beige printed straight kurta",has a mandarin collar,0,1,6,8
MIMOSA Turquoise Blue & Gold-Toned Linen Blend Woven Design Kanjeevaram Saree,MIMOSA,1516,5,"\"Design Detail:Turquoise Blue and Gold-toned kanjeevaram  woven design saree and has a woven design border Blouse PieceThe model is wearing a blouse from our stylists collection","see the image for a mock-up of what the actual blouse would look likeOrigin:Kanjeevaram sarees are made in the Kanchipuram region in Tamil Nadu. The fabric bears the images of all the scriptures embossed on the walls of the temples of the Kanchipuram?village.\"",1,1,27,11
KAMA AYURVEDA Sustainable Women Essential Skin Care Regime,KAMA AYURVEDA,2195,7,KAMA AYURVEDA Essential Skin Care Regime,"",1,1,6,8
Cortina Brown & Beige Set of 2 Long Door Curtains,Cortina,730,4,Set content: 2 Long Door curtainsColour: Brown and BeigePattern: Floral PrintedLight blocking: RegularFitting: EyeletLining: No,Brown,2,1,15,10
Park Avenue Men Charcoal Grey Checked Neo Fit Formal Trousers,Park Avenue,2199,7,Charcoal Grey woven formal trousersNeo Fit?Mid-riseLength: regularPattern: checkedFlat-front designFeature: plain4 pockets,Grey,0,1,11,10
Inc 5 Women Peach-Coloured Solid Sandals,Inc 5,836,5,"\"A pair of peach-coloured open toe sandals",has regular styling,1,1,7,6
Calfnero Unisex Black Textured Genuine Leather Toiletry Pouch,CALFNERO,1259,5,"\"Black textured travel pouch",has a loop on one side for carrying easeOne main zip compartmentone external pocket,2,1,4,8
AURELIA Women Blue & Golden Printed Maxi Dress,AURELIA,1119,5,"\"Blue and Golden printed woven maxi dress with tie-up detail",has a keyhole neck,1,1,10,8
Hubberholme Women Black Slim Fit High-Rise Clean Look Stretchable Jeans,Hubberholme,674,5,"\"Black dark wash 5-pocket high-rise jeans with side stripes",clean look,1,1,9,10
Flying Machine Boys Charcoal Grey Printed Round Neck T-shirt,Flying Machine,224,3,"\"Charcoal grey printed T-shirt",has a round neck,0,0,4,9
Genius18 Men White & Black Printed Round Neck T-shirt,Genius18,499,5,"\"White and black printed T-shirt",has a round neck,0,1,5,9
Pepe Jeans Girls White Printed Round Neck T-shirt,Pepe Jeans,649,3,"\"White printed T-shirt",has a round neck,1,0,3,8
ToniQ Gold-Toned & White Layered Necklace,ToniQ,494,3,Gold-Toned & White layered necklaceMaterial and stone type: Alloy with Artificial BeadsClosure: Lobster Closure,Red,1,1,14,6
ULRIC DE VARENS Women Cotton Musk Original Eau de Parfum 100 ml,ULRIC DE VARENS,975,2,"\"NotesTop notes: White musks",?bitter orangeHeart notes: honeysuckle,1,1,4,12
Alcis Women Blue Printed Round Neck T-shirt,Alcis,749,5,"\"Blue printed T-shirt",has a round neck,1,1,3,7
Louis Philippe Sport Men Mustard Yellow & Green Super Slim Self-Checked Smart Casual Shirt,Louis Philippe Sport,1592,6,"\"Mustard yellow and green self-checked smart casual shirt",has a spread collar,0,1,8,14
Jack & Jones Men Yellow Lion King  Printed Round Neck T-shirt,Jack & Jones,599,5,"\"Yellow lion king? printed T-shirt",has a round neck,0,1,5,12
Levis Men Navy Blue Suede Sneakers,Levis,5499,7,"\"A pair of round-toe navy blue sneakers",has regular styling,0,1,7,6
Fancy Mart Red Artificial Rosemarry With Pot,fancy mart,484,3,Set content: 1 plant with pot Plant type: Artificial osemarry plant Plant colour: Red Pot colour: White,Red,2,1,18,7
INVU Women Black Square Sunglasses B2900C,INVU,2016,5,Lens colour: BlueLens feature: UV Protected LensFrame material: PlasticFrame style: Half RimBest suited for: Oval face shapeComes in a INVU coverWarranty: 1 yearWarranty provided by brand/manufacturer,Black,1,1,26,6
ONLY Women Burgundy Slim Fit Solid Peg Trousers,ONLY,979,5,"\"Burgundy solid mid-rise peg trousers",slip-on closure,1,1,5,8
U.S. Polo Assn. Kids Boys Navy Hooded Sweatshirt,U.S. Polo Assn. Kids,1234,4,"\"Navy sweatshirt with applique'",has an attached hood with drawstring,0,0,4,8
DKNY Unisex Silver Medium Trolley Bag,DKNY,12375,7,"\"Silver textured medium trolley bag",secured with a TSA lockOne handle on the top and one on the side,2,1,5,6
Park Avenue Women Blue Solid A-Line Top,Park Avenue,509,5,"\"Blue solid A-line top",has v-neck,1,1,4,7
Marvel by Wear Your Mind Boys Black Printed Round Neck T-shirt,Marvel by Wear Your Mind,549,3,"\"Black and Blue Printed T-shirt",has a round neck,0,0,5,11
JC Collection Women Mustard Yellow Lace Wrap Dress,JC Collection,5590,4,"\"Mustard yellow lace woven wrap dress",has a V-neck,1,1,6,8
Geox Women Burgundy Quilted Leather Slip-On Sneakers,Geox,3749,5,"\"A pair of square toe burgundy slip-on sneakers",has regular styling,1,1,8,7
Geox Men Navy Blue Woven Design Sneakers,Geox,5249,5,"\"A pair of round-toe navy blue & grey sneakers",has regular styling,0,1,9,7
Park Avenue Men Off-White & Beige Slim Fit Checked Formal Shirt,Park Avenue,944,5,"\"Off-White and beige checked formal shirt",has a spread collar,0,1,6,11
Titan Women White Analogue Watch 95061WD02,Titan,7436,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Embellished round stainless steel dialFeatures: Reset TimeStrap style: Rose Gold-Toned bracelet style","stainless steel strap with a butterfly closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case\"",1,1,18,6
Metro Women Gold-Toned Textured Heels,Metro,2490,5,"\"A pair of gold-toned open toe heels",has regular styling,1,1,7,5
Elizabeth Arden Bold Defining Electric Blue 24 Hrs Liquid Eye Liner 03,Elizabeth Arden,1120,3,"\"Shade nameElectric blue?Shade number?03What it is?Bold Defining 24 Hrs Liquid Eye LinerWhat it doesThe micro-fine applicator tip glides on with ease to create a precise",calligraphy-like look directly on the lash line.The applicator is ideal for creating a range of makeup looks from delicate everyday or classic cat eye to high drama and runway-ready.The buildable formula is waterproof,1,1,25,12
Fame Forever by Lifestyle Men Turquoise Blue & Orange Printed Sweatshirt,Fame Forever by Lifestyle,499,5,"\"Turquoise Blue and orange printed sweatshirt",has a round neck,0,1,6,11
GIORDANO Yellow Solid Shoulder Bag,GIORDANO,4290,5,"\"Yellow solid shoulder bag",has a zip closure1 main compartment,1,1,4,5
Bohemia Crystal Set of 6 Green Whiskey Glasses,Bohemia Crystal,2639,3,Set content: 6 whiskey glassesColour: Green Pattern: Solid Material: Glass Capacity: 400ml each,Green,2,1,14,8
Tokyo Talkies Women Brown Floral Printed Empire Dress,Tokyo Talkies,1299,5,"\"Brown printed woven empire dress",has a round neck,1,1,5,8
ELLE Women Assorted Solid Sneakers,ELLE,1199,5,"\"A pair of round-toe assorted solid sneakers",has regular styling,1,1,7,5
DressBerry Women Pack of 2 Solid Shoe Liners,DressBerry,299,5,Pack?of 2 solid shoe liners in pink and blackEach has an elasticated mouth and a flat toe seam,"",1,1,18,8
Priyaasi Magenta & Green Gold-Plated Peacock Shaped Drop Earrings,Priyaasi,471,4,"\"Magenta and green Peacock shaped drop earrings",gold-plated,1,1,7,9
Indian Terrain Boys Blue Printed Round Neck T-shirt,Indian Terrain,314,4,"\"Blue printed T-shirt",has a round neck,0,0,3,8
Lavie Women Nude-Coloured Solid Bow Detail Block Heels,Lavie,1319,7,"\"A pair of beige open toe block heels with bow detail and metallic studs",has regular styling,1,1,14,8
Calvin Klein Unisex Black Textured Cabin Trolley Bag,Calvin Klein,10285,6,"\"Black textured cabin trolley bag secured with zip closureOne handle on the top and one on the side",mounted 360-degree wheelsOne main zip compartment with a zip lining,2,1,18,8
RANGMANCH BY PANTALOONS Women Blue Woven Design A-Line Kurta,RANGMANCH BY PANTALOONS,519,5,"\"Blue woven design A-line kurta",has a round neck,1,1,5,9
Mast & Harbour Women Navy Blue & Off White Striped T-shirt Dress,Mast & Harbour,1299,4,"\"Navy blue and off-white striped knitted t-shirt dress",has a round neck,1,1,8,12
GAP Boy's Denim Shirt,GAP,1149,5,"\"Premium denim.Dark indigo washLong sleeves",button cuffsSpread collarButton frontChest?pocketsCurved shirttailTo preserve this authentic color and prevent dye from rubbing off onto other fabrics,0,0,5,4
Indian Terrain Men Brown & Orange Printed Polo Collar T-shirt,Indian Terrain,764,5,"\"Brown and Orange printed T-shirt",has a polo collar,0,1,5,10
OOMPH Gold Toned Handcrafted Minimal Choker Necklace,OOMPH,391,3,Gold-Toned handcrafted necklaceMaterial and stone type: Alloy with Artificial Stones and BeadsClosure: Lobster ClosureWarranty: 1 monthWarranty provided by brand/manufacturer,Gold,1,1,19,7
Indian Terrain Boys Olive Green Regular Fit Solid Regular Trousers,Indian Terrain,539,4,"\"Olive Green solid mid-rise trousers",button closure,0,0,5,10
KazarMax Women Pink & Purple Ombre Dyed Slip-On Sneakers,KazarMax,1124,5,"\"A pair of round-toe pink & purple slip-on sneakers",has regular styling,1,1,9,9
Indian Terrain Men Beige & Red Slim Fit Checked Smart Casual Linen Shirt,Indian Terrain,1349,5,"\"Beige and red checked smart casual shirt",has a spread collar,0,1,7,13
HRX by Hrithik Roshan Men Khaki Slim Fit Solid Cargos,HRX by Hrithik Roshan,2999,6,Look sporty even when you're outside the gym with the HRX Men's Lifestyle Trousers. These slim fit trousers are lightweight and have enough pockets to keep everything you need at hand.FeaturesCargo pockets keep essentials at handCut & Sew detailing on side panel.Design: SolidLength: Ankle LengthColour: KhakiFit: Slim Fit,Khaki,0,1,48,10
Indian Terrain Men Yellow & White Slim Fit Checked Smart Casual Shirt,Indian Terrain,899,5,"\"Yellow and white checked smart casual shirt",has a spread collar,0,1,7,12
Kvsfab Beige & Green Linen Blend Printed Saree,Kvsfab,1420,6,"\"Design Detail:Beige and green printed saree and has a solid borderBlouse PieceThe model is wearing a blouse from our stylists collection","see the image for a mock-up of what the actual blouse would look like\"",1,1,21,8
Mufti Men Burgundy Printed Round Neck T-shirt,Mufti,649,5,"\"Burgundy printed T-shirt",has a round neck,0,1,3,7
AURELIA Women Teal Green & Orange Printed A-Line Kurta,AURELIA,419,6,"\"Teal Green and Orange printed A-line kurta",has a round neck,1,1,7,9
AURELIA Women Burgundy & Golden Printed Kurta with Palazzos & Dupatta,AURELIA,3299,6,"\"Burgundy and golden printed kurta with palazzos and dupattaBurgundy and golden printed straight calf length kurta",has a round neck,1,1,16,11
